"","id_ind","ind_sex","ind_age","ind_main_job_wage","ind_education_years"
"212",1,2,51,NA,7
"213",2,1,25,NA,1
"214",3,2,12,NA,NA
"215",4,1,NA,NA,NA
"216",5,2,7,NA,NA
"217",6,1,60,NA,5
"218",1,1,60,NA,5
"219",2,2,50,NA,2
"220",3,1,23,NA,7
"221",4,2,22,NA,5
"222",5,1,19,NA,6
"223",6,1,17,NA,NA
"224",7,2,15,NA,NA
"225",8,1,12,NA,NA
"226",9,1,10,NA,NA
"227",10,1,1,NA,NA
"228",11,1,11,NA,NA
"229",12,2,9,NA,NA
"230",13,2,16,NA,5
"231",1,2,78,NA,0
"232",2,1,21,NA,8
"233",3,1,16,NA,6
"234",4,NA,NA,NA,NA
"235",5,1,22,NA,5
"236",1,1,31,NA,7
"237",2,2,24,NA,6
"238",3,1,3,NA,0
"239",4,2,0,NA,NA
"240",5,2,18,NA,5
"241",1,2,26,NA,0
"242",2,1,13,NA,NA
"243",3,1,8,NA,NA
"244",4,2,5,NA,NA
"245",5,1,15,NA,5
"246",6,1,10,NA,NA
"247",7,1,42,NA,0
"248",1,2,48,NA,7
"249",2,1,28,150000,5
"250",3,2,25,NA,11
"251",4,1,23,NA,NA
"252",5,2,22,NA,NA
"253",6,2,13,NA,NA
"254",7,1,13,NA,NA
"255",8,2,10,NA,NA
"256",9,2,20,NA,NA
"257",10,1,2,NA,NA
"258",11,2,17,NA,NA
"259",1,2,67,45000,0
"260",2,1,25,NA,13
"261",3,NA,NA,NA,NA
"262",4,1,16,35000,NA
"263",5,NA,NA,NA,NA
"264",6,NA,NA,NA,NA
"265",7,1,1,NA,NA
"266",1,1,38,NA,3
"267",2,2,36,NA,3
"268",3,1,19,NA,NA
"269",4,1,13,NA,NA
"270",5,1,12,NA,NA
"271",6,1,11,NA,NA
"272",7,1,10,NA,NA
"273",8,2,26,NA,5
"274",9,2,7,NA,NA
"275",10,2,5,NA,0
"276",11,2,0,NA,NA
"277",1,NA,NA,NA,NA
"278",2,2,43,974234,15
"279",3,2,16,NA,NA
"280",4,2,14,NA,NA
"281",5,1,12,NA,NA
"282",6,1,9,NA,NA
"283",7,NA,NA,NA,NA
"284",9,2,25,1e+05,5
"285",10,1,27,NA,15
"286",1,1,30,NA,4
"287",2,2,26,NA,2
"288",3,1,5,NA,NA
"289",4,1,2,NA,NA
"290",5,1,40,NA,7
"291",1,2,22,140000,12
"292",1,2,20,NA,NA
"293",1,1,30,NA,7
"294",2,2,25,NA,13
"295",3,1,3,NA,0
"296",1,2,42,NA,6
"297",2,1,NA,NA,NA
"298",3,2,NA,NA,NA
"299",4,1,16,NA,8
"300",5,1,14,NA,NA
"301",6,1,11,NA,NA
"302",7,2,9,NA,NA
"303",8,2,6,NA,NA
"304",9,1,43,NA,4
"305",1,2,76,NA,0
"306",2,NA,NA,NA,NA
"307",3,NA,NA,NA,NA
"308",4,1,18,NA,NA
"309",5,2,15,NA,NA
"310",6,NA,NA,NA,NA
"311",7,NA,NA,NA,NA
"312",8,NA,NA,NA,NA
"313",1,1,74,NA,3
"314",2,2,48,NA,3
"315",3,NA,NA,NA,NA
"316",4,NA,NA,NA,NA
"317",5,NA,NA,NA,NA
"318",6,2,19,NA,NA
"319",7,2,14,NA,NA
"320",8,2,NA,NA,NA
"321",1,1,74,NA,0
"322",2,2,47,NA,0
"323",3,2,NA,NA,NA
"324",4,1,15,NA,NA
"325",5,1,12,NA,NA
"326",6,2,17,NA,NA
"327",7,2,NA,NA,NA
"328",1,1,49,NA,15
"329",2,2,46,NA,12
"330",3,1,21,NA,NA
"331",4,1,16,NA,NA
"332",5,2,13,NA,NA
"333",6,2,11,NA,NA
"334",7,2,8,NA,NA
"335",8,2,6,NA,NA
"336",9,2,6,NA,NA
"337",1,1,37,NA,7
"338",2,2,31,NA,5
"339",3,2,12,NA,NA
"340",4,2,11,NA,NA
"341",5,1,9,NA,NA
"342",6,2,6,NA,0
"343",7,2,3,NA,0
"344",1,1,64,NA,15
"345",2,2,39,NA,6
"346",3,2,18,NA,NA
"347",4,1,15,NA,5
"348",5,1,13,NA,NA
"349",6,1,11,NA,NA
"350",7,2,10,NA,NA
"351",8,1,16,NA,NA
"352",9,1,3,NA,0
"353",1,1,59,NA,NA
"354",2,2,33,NA,NA
"355",3,2,7,NA,NA
"356",4,1,4,NA,NA
"357",5,1,8,NA,NA
"358",1,1,77,NA,3
"359",2,2,66,NA,0
"360",3,2,38,NA,6
"361",4,2,29,NA,11
"362",1,1,39,NA,NA
"363",2,2,34,NA,NA
"364",3,2,9,NA,NA
"365",4,2,5,NA,NA
"366",5,1,13,NA,NA
"367",1,2,NA,NA,NA
"368",2,1,NA,NA,NA
"369",3,2,NA,NA,NA
"370",4,1,31,NA,8
"371",5,2,22,NA,4
"372",6,2,0,NA,NA
"373",1,1,61,NA,9
"374",2,2,53,NA,4
"375",3,1,24,NA,11
"376",4,1,22,NA,NA
"377",5,1,19,14000,5
"378",6,2,16,NA,6
"379",7,2,15,NA,5
"380",8,1,11,NA,NA
"381",9,NA,NA,NA,NA
"382",10,1,5,NA,NA
"383",1,1,39,120000,4
"384",2,2,34,NA,2
"385",3,1,16,NA,5
"386",4,1,13,NA,NA
"387",5,1,12,NA,NA
"388",6,2,10,NA,NA
"389",7,2,6,NA,NA
"390",8,2,4,NA,0
"391",1,2,39,NA,1
"392",2,NA,NA,NA,NA
"393",3,NA,NA,NA,NA
"394",4,NA,NA,NA,NA
"395",5,NA,NA,NA,NA
"396",6,2,12,NA,5
"397",7,1,7,NA,NA
"398",8,2,5,NA,NA
"399",9,2,3,NA,0
"400",1,2,56,NA,7
"401",2,1,NA,NA,NA
"402",3,1,19,NA,NA
"403",4,2,17,NA,NA
"404",5,1,11,NA,NA
"405",6,2,NA,NA,NA
"406",7,2,NA,NA,NA
"407",8,1,70,NA,5
"408",1,1,35,NA,12
"409",2,2,26,NA,12
"410",3,2,1,NA,NA
"411",1,1,35,NA,NA
"412",2,2,30,NA,6
"413",3,2,11,NA,NA
"414",4,1,9,NA,NA
"415",5,2,6,NA,NA
"416",6,2,2,NA,NA
"417",7,2,0,NA,NA
"418",1,1,39,8e+05,NA
"419",2,2,37,NA,9
"420",3,2,14,NA,NA
"421",4,1,10,NA,NA
"422",1,1,77,NA,15
"423",2,2,69,NA,8
"424",3,1,NA,NA,NA
"425",4,1,20,50000,6
"426",1,2,54,NA,3
"427",2,1,44,NA,0
"428",3,1,19,NA,3
"429",4,1,16,NA,4
"430",5,1,14,NA,0
"431",6,1,12,NA,0
"432",7,2,7,NA,0
"433",8,2,5,NA,0
"434",1,2,40,NA,7
"435",2,1,NA,NA,NA
"436",3,2,NA,NA,NA
"437",4,1,20,NA,11
"438",5,2,16,NA,8
"439",6,1,14,NA,NA
"440",7,2,14,NA,NA
"441",8,1,9,NA,NA
"442",9,2,7,NA,NA
"443",1,2,41,NA,2
"444",2,1,52,NA,4
"445",3,2,25,NA,6
"446",4,NA,NA,NA,NA
"447",5,NA,NA,NA,NA
"448",6,NA,NA,NA,NA
"449",7,1,18,NA,NA
"450",8,NA,NA,NA,NA
"451",9,2,15,NA,NA
"452",10,1,13,NA,NA
"453",11,2,7,NA,NA
"454",12,2,5,NA,NA
"455",13,2,NA,NA,NA
"456",1,1,30,16000,10
"457",2,2,8,NA,NA
"458",3,2,23,NA,6
"459",4,2,3,NA,0
"460",5,1,1,NA,NA
"461",1,2,70,60000,7
"462",1,2,66,3e+05,9
"463",2,1,70,NA,9
"464",3,NA,NA,NA,NA
"465",4,1,22,NA,NA
"466",5,2,17,NA,NA
"467",6,1,9,NA,NA
"468",1,1,26,NA,7
"469",2,NA,NA,NA,NA
"470",3,NA,NA,NA,NA
"471",4,2,23,NA,10
"472",5,2,0,NA,NA
"473",1,2,36,NA,2
"474",2,NA,NA,NA,NA
"475",3,1,18,NA,NA
"476",4,1,9,NA,0
"477",5,2,6,NA,NA
"478",6,2,NA,NA,NA
"479",7,2,12,NA,NA
"480",8,2,0,NA,NA
"481",1,NA,NA,NA,NA
"482",2,2,84,NA,0
"483",1,1,40,NA,4
"484",2,2,36,NA,9
"485",3,2,17,NA,7
"486",4,1,14,NA,NA
"487",5,2,12,NA,NA
"488",6,1,9,NA,NA
"489",7,2,6,NA,NA
"490",8,1,4,NA,NA
"491",1,1,65,NA,6
"492",2,2,39,NA,4
"493",3,2,19,NA,4
"494",4,2,17,50000,7
"495",5,2,15,NA,NA
"496",6,2,13,NA,NA
"497",7,2,11,NA,NA
"498",8,1,9,NA,NA
"499",9,2,7,NA,NA
"500",10,1,4,NA,NA
"501",11,2,2,NA,NA
"502",12,2,14,NA,NA
"503",13,2,2,NA,NA
"504",14,1,0,NA,NA
"505",1,2,16,NA,NA
"506",2,1,55,NA,12
"507",3,2,38,NA,7
"508",4,1,12,NA,NA
"509",5,2,10,NA,NA
"510",6,2,NA,NA,NA
"511",1,NA,NA,NA,NA
"512",2,1,35,NA,11
"513",3,2,5,NA,NA
"514",4,2,24,NA,7
"515",1,1,45,NA,0
"516",2,2,39,NA,6
"517",3,2,74,NA,0
"518",4,1,19,NA,NA
"519",5,1,18,NA,NA
"520",1,2,51,NA,0
"521",2,NA,NA,NA,NA
"522",3,2,24,NA,12
"523",4,1,21,NA,12
"524",5,1,23,NA,6
"525",6,1,NA,NA,NA
"526",7,1,0,NA,NA
"527",1,2,35,NA,11
"528",2,2,4,NA,0
"529",3,2,4,NA,0
"530",4,1,NA,NA,NA
"531",5,1,NA,NA,NA
"532",1,1,43,NA,7
"533",2,2,39,NA,11
"534",3,2,17,NA,NA
"535",4,2,11,NA,NA
"536",5,2,9,NA,NA
"537",6,2,18,NA,NA
"538",7,2,23,NA,NA
"539",8,1,20,NA,3
"540",9,2,2,NA,NA
"541",10,1,0,NA,NA
"542",1,2,74,NA,0
"543",1,1,66,NA,6
"544",2,2,61,NA,0
"545",3,NA,NA,NA,NA
"546",4,1,17,NA,6
"547",5,2,6,NA,NA
"548",6,1,7,NA,NA
"549",7,1,6,NA,NA
"550",1,NA,NA,NA,NA
"551",2,NA,NA,NA,NA
