"","id_ind","ind_sex","ind_age","ind_main_job_wage","ind_education_years"
"3830",5,1,50,NA,3
"3831",6,1,6,NA,0
"3832",7,2,16,NA,NA
"3833",1,1,35,NA,12
"3834",2,2,32,NA,12
"3835",3,2,11,NA,NA
"3836",4,2,8,NA,NA
"3837",5,2,7,NA,NA
"3838",6,2,4,NA,NA
"3839",7,NA,NA,NA,NA
"3840",8,NA,NA,NA,NA
"3841",9,1,20,60000,9
"3842",10,2,0,NA,NA
"3843",1,2,32,NA,7
"3844",2,NA,NA,NA,NA
"3845",3,2,12,NA,NA
"3846",4,2,10,NA,NA
"3847",5,NA,NA,NA,NA
"3848",6,1,1,NA,NA
"3849",1,1,66,NA,7
"3850",2,NA,NA,NA,NA
"3851",3,2,50,NA,2
"3852",4,1,23,NA,4
"3853",5,NA,NA,NA,NA
"3854",6,2,14,NA,NA
"3855",7,1,12,NA,NA
"3856",8,2,5,NA,NA
"3857",9,2,6,NA,NA
"3858",1,1,51,40000,0
"3859",2,NA,NA,NA,NA
"3860",3,NA,NA,NA,NA
"3861",4,NA,NA,NA,NA
"3862",5,NA,NA,NA,NA
"3863",6,NA,NA,NA,NA
"3864",1,2,31,7e+05,15
"3865",2,2,9,NA,NA
"3866",3,1,39,NA,12
"3867",4,2,1,NA,NA
"3868",1,1,62,NA,3
"3869",2,2,56,NA,4
"3870",3,1,26,NA,NA
"3871",4,1,21,NA,NA
"3872",5,1,19,NA,NA
"3873",6,1,17,NA,NA
"3874",7,1,14,NA,NA
"3875",8,1,2,NA,NA
"3876",9,2,15,NA,2
"3877",1,1,53,NA,6
"3878",1,1,29,NA,13
"3879",2,2,23,3e+05,12
"3880",3,1,2,NA,NA
"3881",1,1,23,NA,1
"3882",2,2,22,NA,4
"3883",3,1,2,NA,NA
"3884",4,1,0,NA,NA
"3885",1,1,59,NA,11
"3886",2,2,41,NA,5
"3887",3,2,56,NA,3
"3888",4,NA,NA,NA,NA
"3889",5,1,25,NA,NA
"3890",6,2,23,NA,NA
"3891",7,1,21,NA,NA
"3892",8,1,21,NA,NA
"3893",9,1,19,NA,NA
"3894",10,1,16,NA,NA
"3895",11,1,8,NA,NA
"3896",12,NA,NA,NA,NA
"3897",13,1,40,NA,9
"3898",14,NA,NA,NA,NA
"3899",1,1,37,NA,7
"3900",2,2,38,NA,0
"3901",3,NA,NA,NA,NA
"3902",4,1,17,50000,6
"3903",5,NA,NA,NA,NA
"3904",6,2,13,NA,NA
"3905",7,1,10,NA,NA
"3906",8,1,7,NA,NA
"3907",9,1,5,NA,0
"3908",10,2,1,NA,NA
"3909",1,1,85,NA,6
"3910",2,2,73,NA,7
"3911",3,1,50,NA,0
"3912",4,2,16,NA,NA
"3913",5,2,13,NA,NA
"3914",6,1,NA,NA,NA
"3915",1,1,52,NA,11
"3916",2,2,51,NA,3
"3917",3,NA,NA,NA,NA
"3918",4,2,28,NA,3
"3919",5,2,25,NA,7
"3920",6,NA,NA,NA,NA
"3921",7,NA,NA,NA,NA
"3922",8,1,19,NA,NA
"3923",9,1,15,NA,NA
"3924",10,1,16,NA,NA
"3925",11,1,17,NA,NA
"3926",12,2,75,NA,0
"3927",1,2,NA,NA,NA
"3928",2,1,13,NA,NA
"3929",3,2,11,NA,NA
"3930",4,1,NA,NA,NA
"3931",5,2,16,NA,11
"3932",6,2,0,NA,NA
"3933",7,1,32,NA,6
"3934",1,2,21,NA,2
"3935",2,1,23,NA,7
"3936",3,1,4,NA,0
"3937",4,2,1,NA,NA
"3938",1,1,44,NA,7
"3939",2,2,37,NA,4
"3940",3,2,16,NA,NA
"3941",4,1,13,NA,NA
"3942",5,2,9,NA,NA
"3943",6,2,7,NA,0
"3944",7,1,3,NA,0
"3945",1,2,27,NA,7
"3946",2,1,32,NA,7
"3947",3,2,15,NA,NA
"3948",4,1,7,NA,NA
"3949",5,2,5,NA,0
"3950",6,2,2,NA,NA
"3951",1,1,32,3e+05,6
"3952",2,2,23,NA,6
"3953",3,2,1,NA,NA
"3954",4,1,6,NA,NA
"3955",1,1,59,NA,9
"3956",2,2,50,NA,9
"3957",1,1,24,NA,5
"3958",2,2,20,NA,5
"3959",3,2,2,NA,NA
"3960",4,2,0,NA,NA
"3961",5,2,0,NA,NA
"3962",1,1,89,NA,6
"3963",2,2,67,NA,9
"3964",3,1,20,NA,NA
"3965",4,1,19,NA,NA
"3966",5,NA,NA,NA,NA
"3967",6,1,10,NA,NA
"3968",7,NA,NA,NA,NA
"3969",1,1,37,NA,9
"3970",2,NA,NA,NA,NA
"3971",3,2,16,NA,NA
"3972",4,NA,NA,NA,NA
"3973",5,1,12,NA,NA
"3974",6,NA,NA,NA,NA
"3975",7,NA,NA,NA,NA
"3976",8,2,31,NA,10
"3977",9,2,3,NA,0
"3978",10,1,1,NA,NA
"3979",11,2,12,NA,NA
"3980",12,2,11,NA,NA
"3981",13,2,7,NA,NA
"3982",1,2,62,NA,0
"3983",2,1,34,NA,7
"3984",3,1,24,NA,NA
"3985",1,1,31,NA,6
"3986",2,NA,NA,NA,NA
"3987",3,2,8,NA,NA
"3988",4,2,5,NA,0
"3989",5,2,22,NA,7
"3990",6,1,2,NA,NA
"3991",7,1,NA,NA,NA
"3992",8,1,0,NA,NA
"3993",1,2,43,NA,0
"3994",2,1,17,NA,NA
"3995",3,1,46,NA,11
"3996",1,2,30,NA,7
"3997",2,1,10,NA,NA
"3998",3,2,8,NA,NA
"3999",4,1,6,NA,0
"4000",5,2,4,NA,0
"4001",1,1,57,150000,0
"4002",2,2,52,NA,0
"4003",3,NA,NA,NA,NA
"4004",4,1,24,120000,6
"4005",5,1,20,150000,4
"4006",6,2,14,NA,NA
"4007",7,2,16,NA,NA
"4008",8,1,13,NA,NA
"4009",9,2,3,NA,NA
"4010",1,2,30,138000,11
"4011",2,2,6,NA,NA
"4012",3,NA,NA,NA,NA
"4013",4,1,3,NA,0
"4014",1,2,41,NA,6
"4015",2,NA,NA,NA,NA
"4016",3,2,12,NA,NA
"4017",4,2,8,NA,NA
"4018",5,1,63,360000,13
"4019",7,NA,NA,NA,NA
"4020",8,NA,NA,NA,NA
"4021",9,1,16,NA,4
"4022",10,1,11,NA,NA
"4023",11,1,2,NA,NA
"4024",12,1,4,NA,NA
"4025",2,1,42,150000,4
"4026",3,2,28,NA,4
"4027",4,2,8,NA,NA
"4028",5,2,6,NA,NA
"4029",6,1,0,NA,NA
"4030",1,1,98,NA,0
"4031",2,2,71,NA,0
"4032",3,NA,NA,NA,NA
"4033",4,2,36,NA,0
"4034",5,2,5,NA,NA
"4035",1,1,51,NA,9
"4036",2,2,44,NA,1
"4037",3,NA,NA,NA,NA
"4038",4,NA,NA,NA,NA
"4039",5,2,20,NA,7
"4040",6,1,16,NA,NA
"4041",7,2,13,NA,NA
"4042",8,2,10,NA,NA
"4043",1,1,36,NA,6
"4044",2,2,31,NA,6
"4045",3,2,33,NA,6
"4046",4,1,14,NA,NA
"4047",5,1,12,NA,NA
"4048",6,1,9,NA,NA
"4049",7,1,7,NA,NA
"4050",8,2,11,NA,NA
"4051",9,1,10,NA,NA
"4052",10,1,7,NA,NA
"4053",11,NA,NA,NA,NA
"4054",12,NA,NA,NA,NA
"4055",13,1,65,NA,7
"4056",14,2,4,NA,0
"4057",15,1,4,NA,0
"4058",16,1,2,NA,NA
"4059",17,1,2,NA,NA
"4060",1,2,30,NA,12
"4061",2,1,11,NA,NA
"4062",3,1,7,NA,NA
"4063",4,1,7,NA,NA
"4064",5,1,32,NA,12
"4065",6,1,1,NA,NA
"4066",1,1,46,NA,6
"4067",2,2,43,NA,6
"4068",3,NA,NA,NA,NA
"4069",4,2,NA,NA,NA
"4070",5,1,20,NA,12
"4071",6,1,19,NA,3
"4072",7,1,17,NA,6
"4073",8,2,18,NA,4
"4074",9,1,15,NA,4
"4075",10,2,14,NA,NA
"4076",11,2,10,NA,NA
"4077",12,1,9,NA,NA
"4078",13,1,5,NA,NA
"4079",14,1,2,NA,NA
"4080",1,2,78,NA,0
"4081",2,2,15,NA,NA
"4082",3,1,15,NA,NA
"4083",4,NA,NA,NA,NA
"4084",5,1,23,50000,6
"4085",6,1,1,NA,NA
"4086",2,NA,NA,NA,NA
"4087",6,1,25,NA,3
"4088",7,1,23,NA,7
"4089",8,2,NA,NA,NA
"4090",9,1,5,NA,NA
"4091",10,2,60,NA,2
"4092",1,NA,NA,NA,NA
"4093",2,NA,NA,NA,NA
"4094",3,1,37,NA,15
"4095",4,NA,NA,NA,NA
"4096",5,2,31,NA,15
"4097",6,1,5,NA,NA
"4098",7,2,1,NA,NA
"4099",1,2,53,NA,2
"4100",2,2,NA,NA,NA
"4101",3,1,10,NA,NA
"4102",4,2,NA,NA,NA
"4103",5,1,6,NA,NA
"4104",6,1,28,NA,4
"4105",1,1,40,NA,5
"4106",2,2,25,NA,6
"4107",3,1,14,NA,NA
"4108",4,2,9,NA,NA
"4109",5,2,7,NA,0
"4110",6,2,4,NA,0
"4111",1,2,54,NA,0
"4112",2,2,NA,NA,NA
"4113",3,2,21,NA,6
"4114",4,1,29,NA,13
"4115",5,1,15,NA,NA
"4116",6,2,NA,NA,NA
"4117",7,1,12,NA,NA
"4118",8,1,10,NA,NA
"4119",9,2,NA,NA,NA
"4120",10,2,2,NA,NA
"4121",11,1,6,NA,0
"4122",1,1,30,NA,NA
"4123",2,1,11,NA,NA
"4124",1,1,34,NA,8
"4125",2,2,33,NA,6
"4126",3,1,14,NA,NA
"4127",4,2,12,NA,NA
"4128",5,2,10,NA,NA
"4129",6,2,6,NA,NA
"4130",7,NA,NA,NA,NA
"4131",8,2,0,NA,NA
"4132",9,1,8,NA,NA
"4133",1,1,26,120000,3
"4134",2,2,29,96000,5
"4135",3,2,11,NA,NA
"4136",1,1,58,NA,12
"4137",2,2,34,NA,10
"4138",3,1,15,NA,NA
"4139",4,1,12,NA,NA
"4140",5,2,8,NA,NA
"4141",6,1,4,NA,0
"4142",1,1,60,180000,6
"4143",2,2,49,NA,3
"4144",3,1,15,NA,NA
"4145",4,2,NA,NA,NA
"4146",5,2,NA,NA,NA
"4147",6,2,NA,NA,NA
"4148",1,1,40,NA,NA
"4149",2,2,30,NA,9
"4150",3,2,7,NA,NA
"4151",4,1,5,NA,NA
"4152",5,2,4,NA,0
"4153",6,2,3,NA,0
"4154",1,1,35,NA,6
"4155",2,1,12,NA,NA
"4156",3,1,10,NA,NA
"4157",4,2,7,NA,0
"4158",5,2,32,NA,6
"4159",6,1,7,NA,0
"4160",7,1,5,NA,0
"4161",8,1,3,NA,0
"4162",9,1,1,NA,NA
"4163",0,NA,NA,NA,NA
"4164",1,1,14,NA,NA
"4165",2,2,12,NA,NA
"4166",3,1,8,NA,NA
"4167",4,1,NA,NA,NA
"4168",5,1,32,NA,7
"4169",6,2,45,NA,5
"4170",1,2,48,NA,1
"4171",2,NA,NA,NA,NA
"4172",3,NA,NA,NA,NA
"4173",4,NA,NA,NA,NA
"4174",5,NA,NA,NA,NA
"4175",6,1,16,NA,NA
"4176",7,2,13,NA,NA
"4177",1,2,32,NA,0
"4178",2,1,7,NA,0
"4179",3,1,7,NA,0
"4180",4,2,4,NA,0
"4181",5,1,2,NA,NA
"4182",1,2,23,NA,7
"4183",2,1,30,NA,5
"4184",3,1,2,NA,NA
"4185",4,2,7,NA,NA
"4186",5,1,4,NA,0
"4187",6,1,0,NA,NA
"4188",1,2,39,NA,4
"4189",2,2,21,NA,12
"4190",3,2,14,NA,NA
"4191",4,2,10,NA,NA
"4192",5,1,7,NA,NA
"4193",6,2,16,NA,NA
"4194",7,2,18,NA,NA
"4195",8,1,12,NA,NA
"4196",9,1,41,2e+05,9
"4197",10,1,43,NA,3
"4198",0,NA,NA,NA,NA
"4199",1,1,12,NA,NA
"4200",2,1,10,NA,NA
"4201",3,1,4,NA,NA
"4202",4,2,40,NA,1
"4203",1,1,47,NA,7
"4204",2,2,42,NA,0
"4205",3,1,22,NA,11
"4206",4,2,19,NA,9
"4207",5,2,17,NA,NA
"4208",6,2,15,NA,NA
"4209",7,1,12,NA,NA
"4210",8,2,9,NA,NA
"4211",9,2,7,NA,NA
"4212",10,1,7,NA,NA
"4213",11,2,1,NA,NA
"4214",1,NA,NA,NA,NA
"4215",2,2,38,NA,3
"4216",3,NA,NA,NA,NA
"4217",4,NA,NA,NA,NA
"4218",5,1,12,NA,NA
"4219",6,NA,NA,NA,NA
"4220",7,2,4,NA,0
"4221",8,1,1,NA,NA
"4222",1,2,21,NA,7
"4223",2,2,1,NA,NA
"4224",1,2,59,NA,7
"4225",2,NA,NA,NA,NA
"4226",3,NA,NA,NA,NA
"4227",4,NA,NA,NA,NA
"4228",5,1,33,NA,9
"4229",6,NA,NA,NA,NA
"4230",7,2,5,NA,NA
"4231",8,2,6,NA,NA
"4232",9,2,NA,NA,NA
"4233",1,1,56,NA,7
"4234",2,2,54,NA,0
"4235",3,NA,NA,NA,NA
"4236",4,NA,NA,NA,NA
"4237",5,NA,NA,NA,NA
"4238",6,1,18,NA,NA
"4239",7,2,14,NA,NA
"4240",8,1,10,NA,NA
"4241",1,2,81,NA,1
"4242",2,1,20,NA,NA
"4243",3,NA,NA,NA,NA
"4244",4,NA,NA,NA,NA
"4245",5,NA,NA,NA,NA
"4246",6,1,17,NA,NA
"4247",7,2,11,NA,NA
"4248",8,NA,NA,NA,NA
"4249",9,2,18,NA,NA
"4250",10,NA,NA,NA,NA
"4251",1,2,29,30000,11
"4252",2,1,31,4e+05,NA
"4253",3,2,4,NA,NA
"4254",4,2,3,NA,0
"4255",5,1,0,NA,NA
"4256",1,2,44,NA,NA
"4257",2,1,NA,NA,NA
"4258",3,2,NA,NA,NA
"4259",4,2,NA,NA,NA
"4260",5,1,18,NA,NA
"4261",6,1,12,NA,NA
"4262",7,1,9,NA,NA
"4263",8,1,57,NA,NA
"4264",9,2,3,NA,NA
"4265",1,1,NA,NA,NA
"4266",2,2,41,NA,6
"4267",3,1,NA,NA,NA
"4268",4,1,17,NA,5
"4269",5,1,16,NA,NA
"4270",6,2,14,NA,NA
"4271",7,1,13,NA,NA
"4272",8,2,12,NA,NA
"4273",9,1,10,NA,NA
"4274",10,1,7,NA,NA
"4275",11,1,5,NA,0
"4276",12,2,3,NA,0
"4277",1,1,46,5e+05,13
"4278",2,NA,NA,NA,NA
"4279",3,2,15,NA,NA
"4280",4,1,7,NA,NA
"4281",5,NA,NA,NA,NA
"4282",1,1,59,NA,11
"4283",2,2,50,NA,9
"4284",3,1,7,NA,NA
"4285",4,2,6,NA,NA
"4286",5,2,5,NA,0
"4287",6,1,4,NA,0
"4288",7,1,3,NA,0
"4289",8,2,NA,NA,NA
"4290",1,2,70,NA,1
"4291",2,NA,NA,NA,NA
"4292",3,NA,NA,NA,NA
"4293",4,1,10,NA,NA
"4294",5,2,7,NA,NA
"4295",6,2,32,150000,10
"4296",7,1,4,NA,NA
"4297",8,2,13,NA,NA
"4298",9,2,2,NA,NA
"4299",1,1,60,NA,7
"4300",2,2,53,NA,2
"4301",3,1,24,NA,12
"4302",4,1,22,NA,12
"4303",5,1,18,NA,NA
"4304",6,2,16,NA,NA
"4305",7,1,12,NA,NA
"4306",8,2,10,NA,NA
"4307",9,1,8,NA,NA
"4308",1,1,44,NA,0
"4309",2,NA,NA,NA,NA
"4310",1,1,23,357000,7
"4311",2,2,21,NA,3
"4312",3,1,1,NA,NA
"4313",1,2,13,NA,NA
"4314",2,1,15,NA,NA
"4315",3,2,75,NA,2
"4316",4,2,56,NA,0
"4317",5,1,15,NA,NA
"4318",1,NA,NA,NA,NA
"4319",2,NA,NA,NA,NA
"4320",3,1,40,30000,6
"4321",4,NA,NA,NA,NA
"4322",5,NA,NA,NA,NA
"4323",6,2,36,NA,2
"4324",7,2,0,NA,NA
"4325",1,2,64,NA,3
"4326",2,NA,NA,NA,NA
"4327",3,NA,NA,NA,NA
"4328",4,1,NA,NA,NA
"4329",1,1,46,NA,8
"4330",2,2,33,NA,7
"4331",3,NA,NA,NA,NA
"4332",4,2,16,NA,NA
"4333",5,2,13,NA,NA
"4334",6,2,6,NA,NA
"4335",7,2,NA,NA,NA
"4336",8,1,4,NA,NA
"4337",1,1,13,NA,NA
"4338",2,1,5,NA,0
"4339",3,1,23,NA,3
"4340",4,2,17,NA,4
"4341",5,1,50,NA,10
"4342",6,1,11,NA,NA
"4343",7,2,46,NA,1
"4344",1,1,41,5e+05,7
"4345",2,2,36,NA,7
"4346",3,1,18,NA,NA
"4347",4,2,13,NA,NA
"4348",5,1,10,NA,NA
"4349",6,1,3,NA,0
"4350",1,2,63,NA,0
"4351",2,2,NA,NA,NA
"4352",1,2,26,NA,3
"4353",2,1,24,NA,7
"4354",3,2,7,NA,NA
"4355",4,1,5,NA,0
"4356",5,1,3,NA,0
"4357",1,1,56,NA,0
"4358",2,2,36,NA,0
"4359",3,2,6,NA,0
"4360",4,1,4,NA,0
"4361",5,2,0,NA,NA
"4362",1,2,54,NA,3
"4363",2,NA,NA,NA,NA
"4364",3,NA,NA,NA,NA
"4365",4,NA,NA,NA,NA
"4366",5,NA,NA,NA,NA
"4367",6,NA,NA,NA,NA
"4368",7,1,5,NA,NA
"4369",8,1,2,NA,NA
"4370",1,1,58,NA,7
"4371",2,2,60,NA,5
"4372",3,NA,NA,NA,NA
"4373",4,1,20,NA,NA
"4374",5,NA,NA,NA,NA
"4375",6,1,21,NA,NA
"4376",7,NA,NA,NA,NA
"4377",8,NA,NA,NA,NA
"4378",9,NA,NA,NA,NA
"4379",10,2,8,NA,NA
"4380",11,1,11,NA,NA
"4381",12,NA,NA,NA,NA
"4382",13,2,2,NA,NA
"4383",1,2,66,NA,0
"4384",1,1,29,NA,NA
"4385",2,NA,NA,NA,NA
"4386",3,NA,NA,NA,NA
"4387",4,2,21,NA,NA
"4388",5,1,15,NA,NA
"4389",6,NA,NA,NA,NA
"4390",7,NA,NA,NA,NA
"4391",8,2,13,NA,NA
"4392",9,NA,NA,NA,NA
"4393",10,NA,NA,NA,NA
"4394",11,NA,NA,NA,NA
"4395",12,NA,NA,NA,NA
"4396",13,NA,NA,NA,NA
"4397",14,1,60,NA,15
"4398",15,1,25,NA,0
"4399",16,NA,NA,NA,NA
"4400",17,1,8,NA,NA
"4401",18,2,9,NA,NA
"4402",19,1,15,NA,NA
"4403",20,1,15,NA,6
"4404",1,1,72,NA,0
"4405",2,2,48,NA,0
"4406",3,1,14,NA,3
"4407",4,NA,NA,NA,NA
"4408",5,NA,NA,NA,NA
"4409",6,NA,NA,NA,NA
"4410",7,NA,NA,NA,NA
"4411",8,NA,NA,NA,NA
"4412",9,NA,NA,NA,NA
"4413",10,NA,NA,NA,NA
"4414",1,1,6,NA,NA
"4415",2,2,3,NA,0
"4416",3,1,34,NA,10
"4417",4,2,26,NA,6
"4418",5,1,7,NA,NA
"4419",1,2,53,NA,0
"4420",2,NA,NA,NA,NA
"4421",3,1,NA,NA,NA
"4422",4,2,12,NA,NA
"4423",5,1,7,NA,NA
"4424",1,2,77,NA,0
"4425",1,2,55,NA,0
"4426",2,NA,NA,NA,NA
"4427",3,1,11,NA,NA
"4428",4,NA,NA,NA,NA
"4429",5,NA,NA,NA,NA
"4430",6,2,4,NA,0
"4431",8,1,9,NA,NA
"4432",1,1,75,NA,8
"4433",2,1,35,NA,5
"4434",3,2,NA,NA,NA
"4435",4,1,NA,NA,NA
"4436",5,1,12,NA,NA
"4437",6,1,NA,NA,NA
"4438",7,1,NA,NA,NA
"4439",8,2,NA,NA,NA
"4440",9,1,NA,NA,NA
"4441",10,2,20,NA,4
"4442",1,2,46,NA,0
"4443",2,NA,NA,NA,NA
"4444",3,1,22,NA,7
"4445",4,1,20,NA,5
"4446",5,1,16,NA,NA
"4447",6,2,13,NA,NA
"4448",7,2,15,NA,NA
"4449",8,2,16,NA,NA
"4450",9,1,12,NA,NA
"4451",10,1,11,NA,NA
"4452",11,2,23,NA,6
"4453",12,NA,NA,NA,NA
"4454",1,2,22,NA,3
"4455",2,1,30,NA,6
"4456",3,2,6,NA,NA
"4457",4,2,4,NA,NA
"4458",5,1,2,NA,NA
"4459",6,1,0,NA,NA
"4460",1,1,58,NA,9
"4461",2,2,50,NA,3
"4462",3,1,26,NA,9
"4463",4,2,23,NA,11
"4464",5,2,17,NA,12
"4465",6,2,16,NA,11
"4466",7,1,13,NA,NA
"4467",8,1,8,NA,NA
"4468",9,2,35,150000,7
"4469",10,1,5,NA,NA
"4470",1,2,34,NA,9
"4471",2,NA,NA,NA,NA
"4472",3,NA,NA,NA,NA
"4473",4,2,14,NA,NA
"4474",5,1,10,NA,NA
"4475",6,1,8,NA,NA
"4476",7,1,5,NA,NA
"4477",8,2,1,NA,NA
"4478",1,1,59,NA,9
"4479",2,2,45,NA,4
"4480",3,1,27,8e+05,7
"4481",4,1,23,NA,12
"4482",5,1,19,NA,NA
"4483",6,2,13,NA,NA
"4484",7,1,9,NA,NA
"4485",8,1,1,NA,NA
"4486",1,1,29,3e+05,12
"4487",2,2,27,1e+05,3
"4488",3,2,1,NA,NA
"4489",1,1,46,NA,5
"4490",2,2,32,NA,6
"4491",3,2,14,NA,NA
"4492",4,2,8,NA,NA
"4493",5,2,6,NA,0
"4494",6,1,3,NA,0
"4495",1,1,46,4e+05,10
"4496",2,2,29,NA,13
"4497",3,NA,NA,NA,NA
"4498",4,NA,NA,NA,NA
"4499",5,NA,NA,NA,NA
"4500",1,2,57,NA,5
"4501",2,1,22,NA,NA
"4502",3,1,40,NA,0
"4503",1,2,59,NA,3
"4504",2,1,14,NA,NA
"4505",3,1,12,NA,NA
"4506",4,1,11,NA,NA
"4507",5,1,8,NA,NA
"4508",6,2,29,NA,7
"4509",1,2,24,NA,6
"4510",2,1,38,NA,7
"4511",3,1,4,NA,0
"4512",4,2,2,NA,NA
"4513",1,1,54,NA,5
"4514",2,2,46,NA,0
"4515",3,NA,NA,NA,NA
"4516",4,2,19,NA,5
"4517",5,1,14,NA,NA
"4518",6,1,11,NA,NA
"4519",7,NA,NA,NA,NA
"4520",8,NA,NA,NA,NA
"4521",9,2,5,NA,0
"4522",1,2,24,NA,11
"4523",2,2,7,NA,NA
"4524",3,2,3,NA,NA
"4525",4,1,32,NA,11
"4526",5,1,2,NA,NA
"4527",1,1,32,NA,10
"4528",2,2,28,NA,4
"4529",3,1,9,NA,NA
"4530",4,2,6,NA,0
"4531",5,1,1,NA,NA
"4532",1,2,24,NA,6
"4533",2,1,30,NA,13
"4534",3,2,5,NA,0
"4535",4,2,3,NA,0
"4536",5,NA,NA,NA,NA
"4537",1,2,46,NA,6
"4538",2,1,19,NA,NA
"4539",3,2,NA,NA,NA
"4540",4,1,27,NA,11
"4541",5,1,60,NA,7
"4542",6,2,5,NA,0
"4543",1,2,27,NA,7
"4544",2,1,34,170000,3
"4545",3,1,5,NA,NA
"4546",4,1,3,NA,0
"4547",1,1,72,NA,12
"4548",2,2,56,NA,7
"4549",3,NA,NA,NA,NA
"4550",4,NA,NA,NA,NA
"4551",5,NA,NA,NA,NA
"4552",6,1,22,NA,NA
"4553",7,NA,NA,NA,NA
"4554",8,2,17,NA,7
"4555",9,1,NA,NA,NA
"4556",10,NA,NA,NA,NA
"4557",11,2,NA,NA,NA
"4558",12,2,NA,NA,NA
"4559",14,1,4,NA,NA
"4560",15,2,2,NA,NA
"4561",1,1,58,NA,12
"4562",2,2,47,NA,11
"4563",3,NA,NA,NA,NA
"4564",4,2,11,NA,NA
"4565",1,1,63,NA,6
"4566",2,2,48,NA,2
"4567",3,2,95,NA,0
"4568",4,NA,NA,NA,NA
"4569",5,1,19,NA,NA
"4570",6,1,17,NA,NA
"4571",7,2,11,NA,NA
"4572",8,1,7,NA,NA
"4573",9,2,5,NA,NA
"4574",10,1,16,NA,5
"4575",11,1,8,NA,0
"4576",1,1,39,NA,5
"4577",2,2,36,NA,4
"4578",3,1,19,NA,NA
"4579",4,2,17,NA,NA
"4580",5,1,15,NA,1
"4581",6,1,13,NA,NA
"4582",7,2,10,NA,NA
"4583",8,1,8,NA,NA
"4584",9,1,6,NA,NA
"4585",1,2,24,NA,6
"4586",2,1,4,NA,0
"4587",3,2,NA,NA,NA
"4588",4,2,NA,NA,NA
"4589",5,1,2,NA,NA
"4590",6,1,30,NA,12
"4591",1,1,10,NA,NA
"4592",2,NA,NA,NA,NA
"4593",3,1,51,NA,6
"4594",4,NA,NA,NA,NA
"4595",5,1,4,NA,0
"4596",6,1,19,NA,4
"4597",7,1,16,NA,NA
"4598",8,1,21,NA,5
"4599",9,2,44,NA,3
"4600",1,1,39,NA,6
"4601",2,2,30,NA,1
"4602",3,2,13,NA,NA
"4603",4,2,11,NA,NA
"4604",5,1,9,NA,NA
"4605",6,1,7,NA,NA
"4606",7,2,3,NA,0
"4607",8,1,0,NA,NA
"4608",1,1,42,NA,3
"4609",2,2,38,NA,2
"4610",3,2,18,70000,4
"4611",4,NA,NA,NA,NA
"4612",5,1,14,NA,NA
"4613",6,1,11,NA,NA
"4614",7,2,6,NA,0
"4615",8,2,3,NA,0
"4616",9,1,1,NA,NA
"4617",10,1,2,NA,NA
"4618",1,1,30,NA,4
"4619",2,NA,NA,NA,NA
"4620",3,2,2,NA,NA
"4621",4,2,23,NA,5
"4622",1,1,41,NA,11
"4623",2,NA,NA,NA,NA
"4624",3,2,29,NA,8
"4625",4,1,0,NA,NA
"4626",1,NA,NA,NA,NA
"4627",2,2,32,380000,6
"4628",3,NA,NA,NA,NA
"4629",4,NA,NA,NA,NA
"4630",5,NA,NA,NA,NA
"4631",6,NA,NA,NA,NA
"4632",7,NA,NA,NA,NA
"4633",1,2,70,NA,0
"4634",2,1,64,NA,7
"4635",1,1,59,2e+05,11
"4636",2,2,52,NA,10
"4637",3,1,37,5e+05,12
"4638",4,1,NA,NA,NA
"4639",5,1,31,450000,15
"4640",6,1,30,NA,15
"4641",7,2,NA,NA,NA
"4642",8,2,13,NA,NA
"4643",9,2,NA,NA,NA
"4644",10,1,NA,NA,NA
"4645",11,1,15,NA,NA
"4646",12,2,30,1e+05,6
"4647",13,2,18,50000,7
"4648",14,2,108,NA,0
"4649",15,1,44,NA,13
"4650",1,NA,NA,NA,NA
"4651",2,2,67,NA,0
"4652",3,NA,NA,NA,NA
"4653",4,2,NA,NA,NA
"4654",1,1,38,NA,6
"4655",2,2,35,NA,5
"4656",3,NA,NA,NA,NA
"4657",4,1,15,NA,4
"4658",5,1,15,NA,4
"4659",6,2,13,NA,NA
"4660",7,2,8,NA,NA
"4661",8,1,4,NA,0
"4662",1,1,45,NA,0
"4663",2,2,34,NA,0
"4664",3,1,10,NA,NA
"4665",4,2,9,NA,NA
"4666",5,2,7,NA,NA
"4667",6,1,13,NA,NA
"4668",7,1,5,NA,NA
"4669",8,1,3,NA,0
"4670",9,1,NA,NA,NA
"4671",1,2,32,NA,7
"4672",2,1,13,NA,NA
"4673",3,1,NA,NA,NA
"4674",4,1,41,NA,9
"4675",5,1,7,NA,0
"4676",1,1,68,NA,7
"4677",2,1,24,NA,7
"4678",3,2,18,NA,4
"4679",4,2,NA,NA,NA
"4680",5,2,NA,NA,NA
"4681",1,1,28,3e+05,4
"4682",2,2,27,NA,7
"4683",3,2,8,NA,NA
"4684",4,2,3,NA,NA
"4685",5,2,1,NA,NA
"4686",6,2,11,NA,NA
"4687",1,1,29,NA,6
"4688",2,2,NA,NA,NA
"4689",3,2,NA,NA,NA
"4690",4,2,20,NA,7
"4691",5,2,2,NA,NA
"4692",1,2,63,NA,4
"4693",2,1,38,250000,7
"4694",3,2,10,NA,NA
"4695",4,2,8,NA,NA
"4696",5,1,NA,NA,NA
"4697",6,2,NA,NA,NA
"4698",1,1,51,5e+05,11
"4699",2,2,50,NA,7
"4700",3,NA,NA,NA,NA
